symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-26,245.0,CALL,0,1,2026-03-26T12:36:48.292,25,3.79,26,3.88,0.9377,-1.098,0.5993,60.9026,0.0494,-0.3695,241.4832,0.5062,2026-03-26T12:36:48.963,2026-03-26T12:33:45.411,4.24,6.5,3.67,3.82,75.0,20.0,2026-03-26T12:33:45.411,3.82,307,2026-03-26 12:36:30 EDT,248.76,0.9848850297475479,-1.5114970252452127,249.0,3.835,0.08999999999999986,2.346805736636241,313,384637.6872,18758.09,34367.4,29350.01,-0.0156,-0.005,-0.01
IWM,2026-03-26,245.0,PUT,0,-1,2026-03-26T12:36:48.459,613,0.06,1006,0.07,-0.0577,-0.9886,0.5654,-239.6735,0.0478,-0.3659,233.4543,0.4941,2026-03-26T12:36:48.963,2026-03-26T12:36:41.684,0.26,0.27,0.02,0.07,30893.0,1639.0,2026-03-26T12:36:41.684,0.07,307,2026-03-26 12:36:30 EDT,248.76,0.9848850297475479,-1.5114970252452127,249.0,0.065,0.010000000000000009,15.384615384615397,2800,-3329403.84,-158312.0,276808.0,-16156.0,0.002,0.0,0.0
IWM,2026-03-26,246.0,CALL,0,1,2026-03-26T12:36:48.447,27,2.86,21,2.94,0.8824,-1.6634,0.9643,75.7125,0.0838,-0.4833,299.5984,0.4804,2026-03-26T12:36:48.963,2026-03-26T12:35:09.393,3.37,5.46,2.79,2.95,172.0,52.0,2026-03-26T12:35:09.393,2.95,307,2026-03-26 12:36:30 EDT,248.76,0.9889049686444766,-1.1095031355523362,249.0,2.9,0.08000000000000007,2.758620689655175,612,1275780.5856,59015.16,101800.08,54002.87999999999,0.0,0.0,0.0
IWM,2026-03-26,246.0,PUT,0,-1,2026-03-26T12:36:48.9,264,0.13,523,0.14,-0.1147,-1.591,0.9477,-219.0695,0.0834,-0.4868,298.0989,0.4746,2026-03-26T12:36:48.963,2026-03-26T12:36:24.451,0.41,0.45,0.03,0.15,28518.0,3356.0,2026-03-26T12:36:24.451,0.15,307,2026-03-26 12:36:30 EDT,248.76,0.9889049686444766,-1.1095031355523362,249.0,0.135,0.010000000000000009,7.407407407407414,4198,-8709415.9632,-397844.45999999996,667901.8,-48151.06,0.002,0.0,0.0
IWM,2026-03-26,247.0,CALL,0,1,2026-03-26T12:36:48.951,30,2.02,1,2.06,0.7851,-2.3528,1.4287,95.7023,0.1295,-0.4946,293.7043,0.4609,2026-03-26T12:36:48.963,2026-03-26T12:34:00.428,2.8,4.8,1.99,1.99,100.0,54.0,2026-03-26T12:34:00.428,1.99,307,2026-03-26 12:36:30 EDT,248.76,0.9929249075414054,-0.7075092458594593,249.0,2.04,0.040000000000000036,1.960784313725492,681,2193802.002,97294.47,160225.68,53465.31,-0.0058,-0.01,-0.02
IWM,2026-03-26,247.0,PUT,0,-1,2026-03-26T12:36:48.455,66,0.27,167,0.28,-0.2124,-2.2883,1.4192,-195.5416,0.13,-0.5019,294.9276,0.456,2026-03-26T12:36:48.963,2026-03-26T12:36:47.756,0.68,0.69,0.07,0.28,38928.0,4510.0,2026-03-26T12:36:47.756,0.28,307,2026-03-26 12:36:30 EDT,248.76,0.9929249075414054,-0.7075092458594593,249.0,0.275,0.010000000000000009,3.636363636363639,6228,-20140604.64,-883877.7599999999,1425153.24,-132282.72,0.001,0.0,0.0
IWM,2026-03-26,248.0,CALL,0,1,2026-03-26T12:36:48.546,28,1.29,5,1.31,0.6391,-2.8991,1.8312,122.2645,0.1722,-0.2928,166.7212,0.4443,2026-03-26T12:36:48.963,2026-03-26T12:36:39.393,1.99,4.0,1.2,1.29,1853.0,367.0,2026-03-26T12:36:39.393,1.29,307,2026-03-26 12:36:30 EDT,248.76,0.9969448464383341,-0.30551535616658265,249.0,1.3,0.020000000000000018,1.5384615384615397,530,2270333.016,97053.59999999999,153652.3,33872.3,0.001,-0.005,0.01
IWM,2026-03-26,248.0,PUT,0,-1,2026-03-26T12:36:48.951,22,0.53,149,0.54,-0.3596,-2.8459,1.8292,-168.8821,0.1736,-0.2977,168.0517,0.4404,2026-03-26T12:36:48.963,2026-03-26T12:36:47.37,1.02,1.05,0.17,0.54,44480.0,7369.0,2026-03-26T12:36:47.37,0.54,307,2026-03-26 12:36:30 EDT,248.76,0.9969448464383341,-0.30551535616658265,249.0,0.535,0.010000000000000009,1.8691588785046744,4437,-19161067.363199998,-811616.0399999999,1262725.8299999998,-159554.52,0.001,0.0,0.0
IWM,2026-03-26,249.0,CALL,0,1,2026-03-26T12:36:48.95,72,0.72,81,0.74,0.4571,-2.9785,1.9399,155.8415,0.1878,0.1067,-61.3203,0.4316,2026-03-26T12:36:48.963,2026-03-26T12:36:45.502,1.33,3.1,0.64,0.71,5772.0,1358.0,2026-03-26T12:36:45.502,0.71,307,2026-03-26 12:36:30 EDT,248.76,1.000964785335263,0.09647853352629406,249.0,0.73,0.020000000000000018,2.739726027397263,1035,4835222.748,200779.65,308274.75,47309.85,0.0,0.0,0.0
IWM,2026-03-26,249.0,PUT,0,-1,2026-03-26T12:36:48.954,54,0.95,51,0.97,-0.5432,-2.9332,1.9397,-140.6909,0.1891,0.1081,-61.7043,0.4287,2026-03-26T12:36:48.963,2026-03-26T12:36:41.327,1.47,1.47,0.31,0.98,47168.0,9053.0,2026-03-26T12:36:41.327,0.98,307,2026-03-26 12:36:30 EDT,248.76,1.000964785335263,0.09647853352629406,249.0,0.96,0.020000000000000018,2.0833333333333353,2834,-13331282.234399999,-549710.98,831268.88,-153942.88,0.001,0.0,0.0
